loan_id,customer_id,nama_debitur,jumlah_pinjaman,sisa_pokok,suku_bunga,tenor_bulan,dpd,sektor,wilayah,tanggal_pencairan,jaminan
LN00001,C0064,PT Indah Pratama,483000000,891000000,8.6,60,120,Teknologi,Sumatera Utara,2022-01-01,Piutang
LN00002,C0017,PT Maju Bersama,152000000,104000000,7.15,24,0,Teknologi,Jawa Timur,2022-01-10,Tanah
LN00003,C0012,PT Prima Nusantara,2181000000,543000000,6.28,120,60,Perdagangan,Jakarta,2022-01-19,Mesin
LN00004,C0022,PT Berkah Nusantara,1166000000,102000000,13.7,60,0,Teknologi,Kalimantan Timur,2022-01-28,Piutang
LN00005,C0017,PT Sentosa Nusantara,388000000,157000000,13.29,24,0,Pertanian,Sumatera Utara,2022-02-06,Kendaraan
LN00006,C0010,PT Prima Indonesia,498000000,1995000000,12.56,48,30,Manufaktur,Jawa Timur,2022-02-16,Piutang
LN00007,C0065,PT Jaya Pratama,597000000,243000000,8.78,12,45,Konstruksi,DI Yogyakarta,2022-02-25,Tanah
LN00008,C0022,PT Jaya Pratama,62000000,365000000,10.69,84,0,Manufaktur,Bali,2022-03-06,Tanpa Jaminan
LN00009,C0050,PT Prima Utama,378000000,702000000,13.13,48,21,Teknologi,Bali,2022-03-15,Mesin
LN00010,C0014,PT Mandiri Makmur,245000000,483000000,11.96,60,31,Pertanian,Jakarta,2022-03-24,Deposito
LN00011,C0064,PT Abadi Utama,178000000,342000000,17.85,48,0,Pertambangan,Sumatera Selatan,2022-04-03,Tanah
LN00012,C0047,PT Berkah Utama,366000000,423000000,7.64,48,21,Teknologi,Jawa Barat,2022-04-12,Mesin
LN00013,C0029,PT Indah Global,2928000000,3254000000,14.34,120,31,Kesehatan,Sumatera Utara,2022-04-21,Piutang
LN00014,C0076,PT Berkah Pratama,920000000,277000000,10.85,120,30,Pertanian,Sumatera Utara,2022-04-30,Tanpa Jaminan
LN00015,C0036,PT Sejahtera Indonesia,274000000,359000000,11.14,120,0,Perdagangan,Kalimantan Timur,2022-05-09,Properti
LN00016,C0052,PT Berkah Bersama,860000000,841000000,14.61,48,60,Pertanian,Kalimantan Timur,2022-05-19,Tanpa Jaminan
LN00017,C0076,PT Jaya Makmur,1966000000,888000000,14.31,60,0,Perdagangan,Bali,2022-05-28,Properti
LN00018,C0007,PT Berkah Sejati,1223000000,964000000,17.9,84,1,Transportasi,Bali,2022-06-06,Kendaraan
LN00019,C0029,PT Sejahtera Nusantara,514000000,557000000,7.54,72,7,Konstruksi,Sulawesi Selatan,2022-06-15,Tanpa Jaminan
LN00020,C0011,PT Jaya Bersama,254000000,93000000,7.25,48,0,Perhotelan,Sulawesi Selatan,2022-06-24,Mesin
LN00021,C0033,PT Mandiri Makmur,975000000,1507000000,14.69,24,91,Pertanian,Sumatera Selatan,2022-07-04,Properti
LN00022,C0006,PT Maju Makmur,719000000,93000000,12.94,60,75,Perikanan,Sulawesi Selatan,2022-07-13,Deposito
LN00023,C0079,PT Sentosa Global,1187000000,398000000,9.29,48,360,Kesehatan,Jawa Barat,2022-07-22,Mesin
LN00024,C0032,PT Karya Sejati,915000000,138000000,6.95,84,0,Teknologi,Jawa Barat,2022-07-31,Deposito
LN00025,C0051,PT Prima Global,1385000000,275000000,7.03,72,0,Kesehatan,Sumatera Utara,2022-08-09,Tanpa Jaminan
LN00026,C0075,PT Karya Indonesia,284000000,408000000,16.73,120,30,Manufaktur,Jawa Tengah,2022-08-19,Deposito
